# data_3mdgp.dat 
# Number of simulated observations = 50 
# Kernel used : QPK, with parameters: [20, 0.3, 5] 
# Random number seed = 13 
# Time   Value   Value_error  time_series_label 
3.3741585e+01  -1.4949589e-01  1.0000000e-03  rvs
2.7249567e+01  4.3386919e-02  1.0000000e-03  rvs
1.0870981e+01  -7.4752539e-02  1.0000000e-03  rvs
2.0927732e+01  -1.4816870e-01  1.0000000e-03  rvs
3.1074896e+01  -2.1129024e-01  1.0000000e-03  rvs
6.3140500e+00  -1.8748305e-02  1.0000000e-03  rvs
3.4133022e+01  3.3566279e-02  1.0000000e-03  rvs
4.7125298e-01  -1.2184493e-01  1.0000000e-03  rvs
3.2977153e+01  8.4740792e-02  1.0000000e-03  rvs
2.9001170e+01  -3.7596140e-02  1.0000000e-03  rvs
2.5426288e+01  1.3887110e-02  1.0000000e-03  rvs
1.8251313e+01  -7.5549426e-03  1.0000000e-03  rvs
3.9974682e+01  -8.4093053e-02  1.0000000e-03  rvs
8.7546108e-01  -1.9702532e-02  1.0000000e-03  rvs
3.4685287e+01  6.2543676e-02  1.0000000e-03  rvs
1.3144362e+01  3.5746701e-02  1.0000000e-03  rvs
7.9211994e+00  3.9321677e-02  1.0000000e-03  rvs
1.3795453e+01  5.6548937e-02  1.0000000e-03  rvs
4.4318793e+01  2.0630827e-01  1.0000000e-03  rvs
3.0331813e+01  -1.9148228e-02  1.0000000e-03  rvs
7.2518734e+00  -4.0775693e-02  1.0000000e-03  rvs
1.1173756e+01  -5.3203395e-02  5.0000000e-03  s2
1.8559184e+01  2.5847413e-02  5.0000000e-03  s2
4.1941363e+01  -4.2909368e-02  5.0000000e-03  s2
4.4048565e+00  2.9334703e-02  5.0000000e-03  s2
1.8916384e+00  -4.1238549e-02  5.0000000e-03  s2
2.9248058e+01  -3.8492339e-03  5.0000000e-03  s2
4.7579481e+01  -3.4450060e-02  5.0000000e-03  s2
1.7974769e+01  2.8934760e-02  5.0000000e-03  s2
3.1601445e+00  -5.1122437e-02  5.0000000e-03  s2
2.3853233e+01  2.4632185e-02  5.0000000e-03  s2
2.6615635e+01  -9.6187811e-02  5.0000000e-03  s2
7.7871928e+00  -4.7082367e-02  5.0000000e-03  s2
1.4138206e+00  -3.7754963e-02  5.0000000e-03  s2
4.3892030e+01  -5.8129520e-02  5.0000000e-03  s2
2.9385239e+01  2.1981867e-02  5.0000000e-03  s2
3.1242198e+01  -1.0114771e-01  5.0000000e-03  s2
3.0407730e+00  -5.4410444e-02  5.0000000e-03  s2
3.1406092e+01  -1.2010980e-01  5.0000000e-03  s2
3.0458243e+01  -1.5690212e-02  5.0000000e-03  s2
4.3834748e+01  -3.6761846e-02  5.0000000e-03  s2
1.1480084e+01  -5.6047766e-02  5.0000000e-03  s2
7.4698862e+00  -3.5238046e-02  5.0000000e-03  s2
9.8261522e+00  1.7085270e-02  5.0000000e-03  s2
1.6087501e+01  -4.9805051e-02  5.0000000e-03  s2
2.5907069e+00  -6.8483284e-02  5.0000000e-03  s2
1.8723668e+01  3.5968644e-02  5.0000000e-03  s2
4.7900664e+01  9.0366318e-03  5.0000000e-03  s2
3.7795346e+01  1.8284481e-02  5.0000000e-03  s2
2.7221092e+00  -6.8971742e-02  5.0000000e-03  s2
3.3741585e+01  -7.1137464e-03  5.0000000e-03  s2
2.7249567e+01  -2.4235212e-02  5.0000000e-03  s2
1.0870981e+01  -2.0637160e-02  5.0000000e-03  s2
2.0927732e+01  -3.3494979e-02  5.0000000e-03  s2
3.1074896e+01  -6.8631089e-02  5.0000000e-03  s2
6.3140500e+00  -5.6491457e-02  5.0000000e-03  s2
3.4133022e+01  -3.2515020e-02  5.0000000e-03  s2
4.7125298e-01  -2.1837724e-03  5.0000000e-03  s2
3.2977153e+01  5.9861467e-02  5.0000000e-03  s2
2.9001170e+01  -1.7011000e-03  5.0000000e-03  s2
2.5426288e+01  -1.7418871e-02  5.0000000e-03  s2
1.8251313e+01  3.6857488e-02  5.0000000e-03  s2
3.9974682e+01  4.7028616e-02  5.0000000e-03  s2
8.7546108e-01  -4.5518324e-02  5.0000000e-03  s2
3.4685287e+01  3.6631553e-02  5.0000000e-03  s2
1.3144362e+01  9.9383019e-03  5.0000000e-03  s2
7.9211994e+00  -3.3627522e-02  5.0000000e-03  s2
1.3795453e+01  3.6659137e-02  5.0000000e-03  s2
4.4318793e+01  -4.2584691e-02  5.0000000e-03  s2
3.0331813e+01  -1.5182715e-02  5.0000000e-03  s2
7.2518734e+00  -3.2232041e-02  5.0000000e-03  s2
1.1173756e+01  7.0427655e-02  1.0000000e-02  s3
1.8559184e+01  -1.2562467e-03  1.0000000e-02  s3
4.1941363e+01  -7.5477639e-02  1.0000000e-02  s3
4.4048565e+00  4.6173644e-02  1.0000000e-02  s3
1.8916384e+00  2.8709373e-03  1.0000000e-02  s3
2.9248058e+01  -7.5168743e-02  1.0000000e-02  s3
4.7579481e+01  -9.9380494e-02  1.0000000e-02  s3
1.7974769e+01  -2.3872059e-02  1.0000000e-02  s3
3.1601445e+00  -1.1467168e-01  1.0000000e-02  s3
2.3853233e+01  4.3776354e-02  1.0000000e-02  s3
2.6615635e+01  -1.5651728e-01  1.0000000e-02  s3
7.7871928e+00  -4.1871809e-02  1.0000000e-02  s3
1.4138206e+00  -2.3461782e-03  1.0000000e-02  s3
4.3892030e+01  1.5046947e-01  1.0000000e-02  s3
2.9385239e+01  -1.0939359e-01  1.0000000e-02  s3
3.1242198e+01  1.5475847e-01  1.0000000e-02  s3
3.0407730e+00  -9.7241885e-02  1.0000000e-02  s3
3.1406092e+01  2.2635305e-02  1.0000000e-02  s3
3.0458243e+01  -9.3971518e-03  1.0000000e-02  s3
4.3834748e+01  1.7192615e-01  1.0000000e-02  s3
1.1480084e+01  -4.9169149e-02  1.0000000e-02  s3
7.4698862e+00  3.9494380e-02  1.0000000e-02  s3
9.8261522e+00  4.3070072e-02  1.0000000e-02  s3
1.6087501e+01  1.1464318e-01  1.0000000e-02  s3
2.5907069e+00  4.0813833e-02  1.0000000e-02  s3
1.8723668e+01  -8.8474075e-03  1.0000000e-02  s3
4.7900664e+01  -1.1990894e-01  1.0000000e-02  s3
3.7795346e+01  -1.5495176e-01  1.0000000e-02  s3
2.7221092e+00  2.7492222e-02  1.0000000e-02  s3
3.3741585e+01  1.5885006e-01  1.0000000e-02  s3
2.7249567e+01  -4.7567061e-02  1.0000000e-02  s3
1.0870981e+01  8.3494082e-02  1.0000000e-02  s3
2.0927732e+01  1.2574399e-01  1.0000000e-02  s3
3.1074896e+01  1.9746625e-01  1.0000000e-02  s3
6.3140500e+00  2.4335676e-02  1.0000000e-02  s3
3.4133022e+01  -3.7075922e-02  1.0000000e-02  s3
4.7125298e-01  1.3229099e-01  1.0000000e-02  s3
3.2977153e+01  -6.0066831e-02  1.0000000e-02  s3
2.9001170e+01  3.8987633e-02  1.0000000e-02  s3
2.5426288e+01  -3.1259102e-02  1.0000000e-02  s3
1.8251313e+01  6.1207907e-03  1.0000000e-02  s3
3.9974682e+01  9.7816023e-02  1.0000000e-02  s3
8.7546108e-01  3.2718216e-02  1.0000000e-02  s3
3.4685287e+01  -5.0269759e-02  1.0000000e-02  s3
1.3144362e+01  -5.4394568e-02  1.0000000e-02  s3
7.9211994e+00  -4.6853574e-02  1.0000000e-02  s3
1.3795453e+01  -5.0565289e-02  1.0000000e-02  s3
4.4318793e+01  -2.1217618e-01  1.0000000e-02  s3
3.0331813e+01  2.3559310e-02  1.0000000e-02  s3
7.2518734e+00  3.2385782e-04  1.0000000e-02  s3
